,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,Res
1,11.27156928,3.038116775,2.381152517,4.450297603,24.42006238,5.890689636,62.19159257,-15.49304849,-40.61485638,1313.044424
2,3.017740138,1.222149668,2.115072584,4.371446795,24.63349494,5.956092838,62.67547095,-15.4709487,-40.77962199,1313.099103
3,1.546465292,-1.701761409,1.354801681,4.129179394,24.67139956,6.022412137,63.11724204,-15.45330065,-40.94273951,1313.156301
4,-3.959988663,-3.12485554,0.543296456,3.74066546,24.52288702,6.090475734,63.51584828,-15.44014853,-41.10420355,1313.216023
5,2.486244276,-2.350199839,0.194486518,3.23792757,24.17651052,6.16195146,63.87035006,-15.43153265,-41.26400925,1313.278271
6,-3.905141617,-0.314381483,0.468863232,2.656656571,23.6213623,6.239373742,64.17985909,-15.42748767,-41.42215229,1313.343048
7,4.568488872,1.886297076,0.926418637,2.038603401,22.84733628,6.325642207,64.4435272,-15.42804093,-41.57862894,1313.410356
8,-0.661058526,3.423725881,1.057369221,1.447051296,21.84508594,6.423733062,64.66054245,-15.43321107,-41.73343602,1313.480198
9,-2.048221903,3.331486301,0.607566971,0.963620036,20.60568596,6.536739526,64.83012784,-15.44300845,-41.88657102,1313.552575
10,2.881530299,0.29940287,-0.241041298,0.656619659,19.12208518,6.667816981,64.95156446,-15.45743496,-42.03803199,1313.627489
11,1.749566931,-3.154600252,-1.120069803,0.580550498,17.38962326,6.82009453,65.02419367,-15.4764825,-42.18781763,1313.704941
12,-8.003048164,-3.963042189,-1.777431181,0.763879313,15.40672827,6.996650661,65.0473873,-15.50013035,-42.33592713,1313.784933
13,1.482937026,0.133852102,-2.279000221,1.22722426,13.17719815,7.200472545,65.0205537,-15.52834372,-42.48236017,1313.867466
14,4.367972003,4.479770728,-2.851984633,1.970213704,10.71203407,7.434479376,64.94316744,-15.56107632,-42.62711705,1313.952541
15,1.787377811,4.626451932,-3.589775351,2.9583814,8.029748253,7.701350423,64.81477936,-15.59827223,-42.77019867,1314.040157
16,-0.904243039,0.445382235,-3.95881373,4.116071661,5.154282059,8.003452533,64.63502655,-15.63986743,-42.91160662,1314.130316
17,-3.585835081,-5.184046011,-3.179903106,5.323426227,2.114142185,8.342697783,64.40363545,-15.6857913,-43.05134299,1314.223017
18,1.136843862,-8.050175345,-0.838236532,6.434615934,-1.056861146,8.720518027,64.12041361,-15.73596792,-43.18941052,1314.31826
19,-0.387767191,-5.002595701,2.691881497,7.306812313,-4.321330244,9.137851896,63.78523215,-15.79031695,-43.32581263,1314.416045
20,-2.330743028,2.248604723,6.324509823,7.815567738,-7.638314894,9.595285961,63.39802579,-15.84875337,-43.46055341,1314.516371
21,3.833048808,7.719469153,8.57693856,7.867308951,-10.96285345,10.09289303,62.95878358,-15.91118772,-43.5936375,1314.619237
22,8.509875084,6.900178573,8.511248209,7.40504851,-14.24617869,10.63023144,62.46755232,-15.97752704,-43.72506999,1314.724642
23,-6.771963626,1.606598857,6.163503279,6.407610925,-17.43663,11.20639918,61.92442887,-16.04767555,-43.85485642,1314.832584
24,0.761829388,-2.84113809,2.585002804,4.92656262,-20.480482,11.82013949,61.32955863,-16.12153416,-43.98300274,1314.943064
25,-1.803841128,-4.708889629,-0.858158311,3.052686272,-23.32240195,12.46990116,60.68314039,-16.19900046,-44.10951518,1315.056079
26,1.621688959,-4.884737876,-3.311364195,0.902652624,-25.90470281,13.15377006,59.98543461,-16.27996852,-44.23440024,1315.171627
27,-3.891069557,-2.713659581,-4.452358318,-1.406853148,-28.17012711,13.86956486,59.23678928,-16.36432991,-44.35766457,1315.289708
28,4.986077209,0.371766137,-4.517480494,-3.766542679,-30.06541306,14.61494154,58.43762113,-16.45197398,-44.47931503,1315.410319
29,1.166184937,1.537663565,-3.867615722,-6.06052215,-31.54258812,15.3871671,57.58839839,-16.54278855,-44.59935863,1315.533459
30,-8.730105108,2.185781612,-2.852066511,-8.181486091,-32.55938858,16.18294759,56.68965422,-16.63666079,-44.71780253,1315.659126
31,6.220383526,4.10158762,-1.669381239,-10.0305422,-33.08157492,16.99834514,55.74199489,-16.73347732,-44.83465394,1315.787318
32,3.431276496,2.706143214,-0.389695358,-11.5045627,-33.08327298,17.82904004,54.74608167,-16.83312433,-44.94992018,1315.918034
33,-4.905122373,-3.184415849,0.840825148,-12.517909,-32.5480544,18.66987641,53.70262451,-16.93548729,-45.06360864,1316.051271
34,1.248952488,-4.923958513,1.864535756,-13.00077733,-31.46686368,19.51487611,52.61238436,-17.04045114,-45.17572676,1316.187029
35,-5.04597488,0.139395457,2.350388827,-12.90837805,-29.84006462,20.3573228,51.47618886,-17.14790023,-45.2862821,1316.325304
36,4.302414558,6.288233884,1.638759521,-12.22403602,-27.6832911,21.1899046,50.29491887,-17.25771731,-45.39528232,1316.466095
37,4.040729279,6.394567873,-0.646886681,-10.96317768,-25.02626283,22.00462946,49.06951929,-17.36978458,-45.50273506,1316.609401
38,-3.300965399,0.82703506,-4.074348957,-9.199546785,-21.90887589,22.79311988,47.80099518,-17.48398391,-45.60864809,1316.755219
39,-2.34680601,-4.49874498,-7.425916136,-7.046075771,-18.37983732,23.54664817,46.49041097,-17.60019706,-45.7130292,1316.903547
40,-3.244877427,-6.463771996,-9.14514155,-4.6559543,-14.49536935,24.25604143,45.13888073,-17.71830559,-45.81588626,1317.054384
41,0.574631804,-5.202845766,-8.143869351,-2.220659762,-10.3190031,24.91187711,43.74755899,-17.83819061,-45.91722722,1317.207728
42,0.005833828,-1.771615264,-4.350928102,0.038651891,-5.920956897,25.504591,42.31764045,-17.95973296,-46.01706011,1317.363576
43,-1.337308031,1.225044597,1.350111786,1.910886756,-1.377664068,26.02483851,40.85037016,-18.08281378,-46.11539305,1317.521927
44,5.477161421,2.580328993,7.414062588,3.23481773,3.229740429,26.46360104,39.34705766,-18.20731441,-46.21223423,1317.682779
45,-1.914853542,1.046859619,12.1941207,3.920699625,7.816480568,26.81219636,37.80907561,-18.33311609,-46.30759196,1317.846129
46,-6.324873915,0.133337421,14.42587183,3.958407155,12.29678262,27.06221994,36.23785342,-18.46009978,-46.40147471,1318.011976
47,5.353641087,2.582521598,13.61611106,3.40471165,16.58442208,27.2054497,34.63486264,-18.58814622,-46.49389101,1318.180317
48,2.105130624,4.06795951,9.932877101,2.405413255,20.59390697,27.23394595,33.00160098,-18.71713611,-46.58484942,1318.351151
49,0.532934518,1.732650793,4.095474094,1.221435074,24.24451126,27.1402309,31.33959734,-18.84695048,-46.6743585,1318.524475
50,-6.438561584,-1.020429392,-2.541303338,0.17981559,27.46197771,26.91767756,29.65043387,-18.97747038,-46.76242687,1318.700287
51,3.614155709,-0.838700862,-8.497823266,-0.395757815,30.18047755,26.56094922,27.93575517,-19.10857686,-46.8490632,1318.878584
52,3.504381003,-1.210847599,-12.66051952,-0.244011843,32.34294303,26.06586366,26.19725323,-19.240151,-46.93427622,1319.059365
53,-2.255184312,-3.054459887,-14.41622232,0.804022301,33.90327786,25.42943318,24.43665462,-19.372074,-47.0180747,1319.242627
54,-4.015786639,-4.263272308,-13.52628014,2.789647472,34.82621938,24.65008279,22.6557163,-19.50422744,-47.10046743,1319.428368
55,3.657397474,-3.387701894,-10.19392339,5.594535032,35.08710099,23.72774264,20.85622042,-19.63649319,-47.18146323,1319.616585
56,-2.757823735,0.205324227,-5.126130339,8.954976458,34.67234285,22.66389891,19.03995968,-19.76875336,-47.26107095,1319.807276
57,4.832074458,4.106984939,0.538459793,12.51002634,33.58143725,21.46203332,17.20873465,-19.90089019,-47.33929943,1320.000439
58,-0.094126912,4.702651914,5.582260322,15.84084095,31.829334,20.12755925,15.36435366,-20.03278612,-47.41615753,1320.19607
59,-0.716017238,3.088355865,9.069225016,18.51551089,29.44840436,18.66768308,13.50864738,-20.16432372,-47.49165421,1320.394169
60,-0.388039713,0.019800774,10.80118928,20.12314831,26.48602263,17.09086839,11.64346407,-20.29538577,-47.56579849,1320.594731
61,3.03162956,-3.717301419,11.33290521,20.34760343,23.00471061,15.40649559,9.770658002,-20.4258552,-47.6385995,1320.797754
62,-1.792594769,-5.548342527,11.29531215,19.02963181,19.08165228,13.62469282,7.892094415,-20.55561522,-47.71006646,1321.003235
63,-5.000566139,-3.228250473,10.87861852,16.19050357,14.80759385,11.75602889,6.009656795,-20.68454963,-47.7802086,1321.211173
64,7.432610404,1.351759609,9.60033855,12.01468173,10.28395924,9.811424124,4.125240253,-20.81254293,-47.84903522,1321.421564
65,-0.020053815,4.717156284,6.591288111,6.833375602,5.617197542,7.801910918,2.240755215,-20.9394801,-47.91655563,1321.634406
66,-8.55273353,7.484084184,1.380153616,1.072988848,0.917045296,5.738674872,0.358117258,-21.06524678,-47.98277918,1321.849695
67,11.4811682,7.925038197,-5.592616684,-4.821023908,-3.704861142,3.633059445,-1.520749955,-21.18972897,-48.04771528,1322.06743
68,-3.750070226,2.195509955,-12.74909575,-10.41449761,-8.137895306,1.496532852,-3.393904836,-21.31281281,-48.11137343,1322.287607
69,3.122568627,-6.367268552,-17.66782691,-15.31461169,-12.27621319,-0.659337553,-5.259386885,-21.4343845,-48.17376312,1322.510224
70,-4.885846675,-11.79849052,-18.19457683,-19.22840793,-16.02085039,-2.822650251,-7.115230322,-21.55433029,-48.23489389,1322.735277
71,-2.559895345,-10.06998339,-13.40266832,-21.96839662,-19.28355256,-4.981484708,-8.959471497,-21.6725365,-48.29477533,1322.962764
72,5.06698918,-4.240655323,-4.223251406,-23.46114306,-21.98840945,-7.12374979,-10.79015597,-21.78888942,-48.35341716,1323.192682
73,-2.663389953,1.87767796,6.390879094,-23.76004684,-24.07334753,-9.237361307,-12.60533547,-21.90327534,-48.41082913,1323.425029
74,2.024867797,8.799482172,14.68528788,-22.99084272,-25.49272436,-11.31020647,-14.40306237,-22.01558053,-48.46702101,1323.6598
75,-3.764144668,14.07524306,17.69232203,-21.29837549,-26.22273442,-13.33021425,-16.18139494,-22.12569136,-48.52200259,1323.896993
76,6.823135358,12.27229364,14.3599956,-18.82349058,-26.26554028,-15.28531124,-17.93840896,-22.23349423,-48.57578377,1324.136604
77,6.485823244,1.888717175,6.033198965,-15.71381109,-25.64955315,-17.16355767,-19.6721992,-22.33887572,-48.62837448,1324.378632
78,-6.952924653,-11.08711231,-4.036930767,-12.12585177,-24.42440746,-18.95346483,-21.38087279,-22.44172248,-48.67978466,1324.623072
79,-7.328722099,-14.12384987,-12.07658341,-8.218860492,-22.65312169,-20.64429735,-23.06254026,-22.54192117,-48.73002423,1324.869921
80,1.389062359,-5.803124889,-15.41455936,-4.169473694,-20.41110222,-22.2261947,-24.71532097,-22.63935846,-48.77910314,1325.119175
81,3.645052264,2.346505935,-13.26400473,-0.163133925,-17.78692149,-23.69002297,-26.33735442,-22.73392109,-48.82703136,1325.370832
82,5.845818866,1.908203215,-6.74410755,3.577329811,-14.87860079,-25.02739004,-27.92682593,-22.8254959,-48.87381888,1325.624887
83,-11.08006504,-2.969662742,1.918542715,6.815193748,-11.78908438,-26.23083519,-29.48198144,-22.91396958,-48.91947578,1325.881338
84,4.397744446,-0.824927725,10.10215159,9.347079397,-8.623910466,-27.29395621,-31.00111982,-22.99922862,-48.9640122,1326.14018
85,-1.618925864,7.163466552,15.38626624,11.03959047,-5.489198363,-28.21142453,-32.48258596,-23.0811594,-49.00743832,1326.401409
86,2.116133151,11.40016481,16.25231558,11.87695326,-2.487513382,-28.97888078,-33.92478251,-23.15964839,-49.04976434,1326.665023
87,8.926486064,5.717364438,12.73183499,11.94250372,0.28540782,-29.5928675,-35.32616303,-23.23458204,-49.09100043,1326.931016
88,1.130160777,-5.54375226,6.13285257,11.40914675,2.745179843,-30.05072266,-36.68524707,-23.30584655,-49.13115675,1327.199385
89,-17.14905091,-9.035829543,-1.767580167,10.52355443,4.823373069,-30.35037458,-38.00064728,-23.37332828,-49.17024349,1327.470127
90,5.712084777,0.831546076,-9.295021677,9.570048962,6.464791895,-30.4904244,-39.27107637,-23.43691458,-49.20827079,1327.743236
91,10.81720673,7.824976011,-14.99425537,8.813704557,7.627218807,-30.47046098,-40.49535676,-23.49649358,-49.24524873,1328.018709
92,1.625632183,1.083237972,-17.56239592,8.438629243,8.285108575,-30.29119707,-41.6724156,-23.55195421,-49.28118739,1328.296542
93,-12.02459442,-9.477957446,-15.81266673,8.501877967,8.431749422,-29.95456249,-42.80129251,-23.60318766,-49.31609676,1328.576731
94,-3.224533162,-10.23322133,-9.645818472,8.921079828,8.078132813,-29.46367,-43.88116515,-23.65008815,-49.34998674,1328.85927
95,6.57185124,-2.539191383,-0.757267668,9.520003168,7.250259669,-28.82305288,-44.91133938,-23.69255266,-49.38286723,1329.144157
96,-1.750531816,4.468988241,7.982894141,10.06333656,5.988989861,-28.03857805,-45.89125742,-23.73048013,-49.41474802,1329.431387
97,0.10527889,9.062448246,13.68504338,10.28428403,4.348823385,-27.11691262,-46.82050993,-23.76377102,-49.44563882,1329.720954
98,-7.57775854,12.38402938,14.8705167,9.937874293,2.394633975,-26.06549124,-47.69878387,-23.79232764,-49.47554923,1330.012856
99,4.219828375,11.6130453,11.92916143,8.856732133,0.202738493,-24.89218433,-48.52586535,-23.81605454,-49.50448879,1330.307087
100,10.18257584,0.504906597,6.480947131,6.944077115,-2.142031017,-23.60517009,-49.30162335,-23.83485852,-49.53246688,1330.603643
101,-4.551771269,-16.93687597,1.113872264,4.221526173,-4.552214174,-22.21290174,-50.02601292,-23.84864894,-49.55949278,1330.902519
102,-13.78339912,-22.86526997,-1.856432043,0.827101326,-6.939552523,-20.72417999,-50.69906586,-23.8573374,-49.58557561,1331.203711
103,-0.830892536,-8.499342653,-1.829754894,-2.999685071,-9.216899363,-19.14817921,-51.32089733,-23.86083875,-49.61072434,1331.507214
104,13.07351449,12.32932257,-0.215107143,-6.960653685,-11.29995072,-17.49444643,-51.89168327,-23.85907168,-49.63494777,1331.813024
105,-3.302773311,20.69645596,0.74689917,-10.74744953,-13.10941714,-15.77299848,-52.4116382,-23.85195904,-49.65825451,1332.121135
106,-1.00074949,14.15818842,-0.690314101,-14.05863027,-14.57449831,-13.99444662,-52.88101248,-23.83942797,-49.68065309,1332.431544
107,2.816302358,0.325262613,-4.696250285,-16.6296893,-15.63629467,-12.16991952,-53.30009414,-23.82141077,-49.70215186,1332.744246
108,0.14835779,-12.47811508,-9.721505001,-18.26887779,-16.24830449,-10.31097922,-53.66920757,-23.79784503,-49.72275904,1333.059235
109,-7.799606022,-16.02346778,-13.27094648,-18.85640852,-16.37692101,-8.429307077,-53.98869552,-23.76867375,-49.74248272,1333.376509
110,2.963762794,-8.523499438,-13.3982959,-18.37290737,-16.00447073,-6.536554215,-54.25891959,-23.73384597,-49.76133091,1333.696061
111,4.932390488,0.876814883,-9.634857715,-16.91583183,-15.12909398,-4.644428723,-54.48025284,-23.69331691,-49.77931148,1334.017888
112,-5.568939977,4.971945701,-3.064189659,-14.6538787,-13.76565731,-2.764717231,-54.6530671,-23.64704816,-49.79643213,1334.341985
113,4.337122338,4.677108482,4.060113759,-11.79258665,-11.94565881,-0.908997662,-54.77773909,-23.59500793,-49.81270045,1334.668346
114,-3.379270185,3.664388584,9.540982878,-8.559765329,-9.714749394,0.911391803,-54.85465064,-23.53717159,-49.82812383,1334.996968
115,8.75511184,1.972105386,12.05320726,-5.21362478,-7.129514952,2.685316539,-54.88421421,-23.47352241,-49.84270953,1335.327845
116,-9.303208496,-0.378604843,11.45232,-1.991319762,-4.254785481,4.402003755,-54.8668622,-23.40405101,-49.85646467,1335.660973
117,3.206884156,-0.802376307,8.390208407,0.931175062,-1.162266504,6.051222703,-54.80304295,-23.32875482,-49.86939622,1335.996346
118,-1.777306876,0.876175046,3.724760704,3.441270202,2.070285048,7.623212427,-54.69320904,-23.24763778,-49.88151112,1336.333961
119,4.278323574,1.305710247,-1.527304762,5.492859454,5.359379664,9.108572542,-54.53782611,-23.16071114,-49.89281614,1336.673813
120,1.352485156,-1.639352432,-5.981196421,7.082693316,8.619783304,10.4983815,-54.33737698,-23.06799505,-49.90331798,1337.015896
121,-10.25368824,-4.040872291,-8.363190783,8.252505208,11.76568534,11.78425376,-54.09235475,-22.96952045,-49.91302321,1337.360205
122,1.749630932,-2.736336982,-7.85149694,9.079392496,14.71419294,12.95843588,-53.80328988,-22.86532764,-49.92193825,1337.706737
123,11.28440419,-3.063127739,-4.613946199,9.641179406,17.38838493,14.01390973,-53.47075471,-22.75546716,-49.93006941,1338.055487
124,2.559365062,-6.035542499,0.260199245,10.00726854,19.72058147,14.94444668,-53.09534867,-22.63999628,-49.93742288,1338.406449
125,-16.91640551,-3.070402551,5.012548579,10.23736448,21.65326456,15.74469286,-52.67770021,-22.51897734,-49.94400476,1338.75962
126,12.26553538,8.348281173,7.572381453,10.3684729,23.14095878,16.41011488,-52.21843919,-22.39247827,-49.94982105,1339.114994
127,-1.536152368,14.85174576,6.712736171,10.42445943,24.15127225,16.93703409,-51.71821238,-22.26057212,-49.95487771,1339.472567
128,6.735814437,6.620076611,2.613683113,10.43057911,24.66487194,17.32283982,-51.17768335,-22.12333507,-49.95918063,1339.832334
129,-8.200085892,-8.043378591,-3.060078992,10.41008622,24.67441158,17.5658687,-50.59753266,-21.98084547,-49.9627356,1340.194291
130,-7.617178859,-12.92538961,-7.968387015,10.35835572,24.1856264,17.6657374,-49.97846303,-21.83318487,-49.96554837,1340.558432
131,8.882288485,-6.331908687,-10.38078171,10.2424154,23.21904042,17.62346791,-49.3212125,-21.68043861,-49.9676246,1340.924754
132,-1.923703731,2.191013565,-9.870541548,9.999429218,21.80754567,17.44121198,-48.62654146,-21.5226948,-49.96896985,1341.293251
133,-7.396502295,7.089400502,-7.059997546,9.510710161,19.99511944,17.12221968,-47.89523473,-21.36004418,-49.96958964,1341.663919
134,6.822648166,6.609410651,-2.755233865,8.621568378,17.83433748,16.67069925,-47.12811288,-21.19257988,-49.96948945,1342.036752
135,8.972780142,0.210559347,2.247371096,7.176005104,15.38485984,16.09178398,-46.32603508,-21.02039644,-49.96867474,1342.411747
136,-13.76120755,-7.057335329,7.388076569,5.057797524,12.71276852,15.39163369,-45.48989024,-20.84358988,-49.96715094,1342.788898
137,6.642466967,-6.470571405,12.19664494,2.224683521,9.889063484,14.57727197,-44.62057865,-20.6622574,-49.9649234,1343.1682
138,-0.387073436,-0.33368551,15.79687147,-1.260695108,6.986080718,13.65638929,-43.71904178,-20.47649718,-49.96199742,1343.549649
139,0.265393647,4.63880841,16.95515041,-5.224020238,4.075132813,12.63733369,-42.786252,-20.28640831,-49.95837818,1343.93324
140,3.450126565,5.638011895,14.71250177,-9.392821284,1.22357073,11.52902731,-41.82322293,-20.09209074,-49.95407087,1344.318968
141,-4.212566277,3.558037171,8.915747269,-13.39925374,-1.505932703,10.3408854,-40.83101858,-19.89364525,-49.94908074,1344.706827
142,-2.67052228,2.010101465,0.327222378,-16.83288454,-4.058111422,9.082706278,-39.81074001,-19.69117343,-49.94341304,1345.096815
143,3.627789066,2.135606016,-9.522787955,-19.30321116,-6.385573365,7.764618988,-38.76351526,-19.48477748,-49.93707293,1345.488924
144,-0.87477274,-0.318058368,-18.45780736,-20.4741075,-8.450289909,6.397001102,-37.6904905,-19.27456019,-49.93006557,1345.883151
145,2.103889715,-5.915146681,-24.0672779,-20.1105185,-10.22512714,4.990543836,-36.59283299,-19.06062478,-49.92239612,1346.279491
146,-8.462450084,-10.42721802,-24.61957778,-18.13996425,-11.69602623,3.556162869,-35.47171969,-18.84307486,-49.91406973,1346.677938
147,6.515596708,-8.226480142,-19.71324154,-14.69715301,-12.85669888,2.104900285,-34.32830511,-18.6220145,-49.90509153,1347.078488
148,-8.256347753,-0.393477387,-10.54710332,-10.09542556,-13.70970277,0.64766873,-33.16373286,-18.39754792,-49.89546666,1347.481136
149,11.52130794,7.133627319,0.458976384,-4.784554881,-14.26590724,-0.805206305,-31.97913978,-18.16977945,-49.88520018,1347.885876
150,-1.732191355,8.768555274,10.42959746,0.708280929,-14.54441535,-2.243758027,-30.77566263,-17.93881401,-49.8742971,1348.292705
151,-2.125060938,5.648940833,17.3630484,5.842583358,-14.57072337,-3.658458659,-29.55442673,-17.7047569,-49.8627624,1348.701616
152,0.444090676,1.496019426,20.63411384,10.09281135,-14.37459163,-5.040198053,-28.31653714,-17.46771338,-49.85060106,1349.112606
153,-1.027256363,-1.554156836,20.54650635,13.03778729,-13.98952322,-6.380318823,-27.06310013,-17.22778868,-49.83781807,1349.525668
154,1.542479691,-2.955204455,17.85451264,14.40498748,-13.45198962,-7.670846911,-25.79523113,-16.98508817,-49.82441842,1349.940799
155,-1.980741037,-2.036833142,13.1325462,14.16276428,-12.79709228,-8.904453743,-24.51405794,-16.73971739,-49.81040717,1350.357992
156,-1.265182389,0.945733517,6.941555961,12.48868475,-12.05532182,-10.07442036,-23.22072162,-16.4917821,-49.79578936,1350.777243
157,0.835278812,3.607930993,0.072219487,9.70507901,-11.25611723,-11.17460397,-21.91637623,-16.24138831,-49.78057008,1351.198548
158,5.382360272,2.16737384,-6.584026857,6.253450116,-10.42602375,-12.19946329,-20.60217278,-15.98864261,-49.76475438,1351.621899
159,-7.315368959,-2.2539693,-11.85650139,2.59864097,-9.584465432,-13.14438107,-19.27924885,-15.73365283,-49.74834735,1352.047294
160,-1.725210786,-3.659032017,-14.75751087,-0.826315755,-8.744549094,-14.00549632,-17.94872976,-15.47652812,-49.73135405,1352.474727
161,4.040544299,-3.09156533,-14.90877105,-3.668102248,-7.91383821,-14.77957013,-16.61173189,-15.21737804,-49.71377952,1352.904192
162,-6.126330319,-2.025340438,-12.44173126,-5.692115925,-7.094865432,-15.46400675,-15.26935442,-14.95631185,-49.69562879,1353.335685
163,3.754538024,0.668873991,-7.941001978,-6.794633428,-6.287153021,-16.05679129,-13.92268792,-14.69343839,-49.6769069,1353.769201
164,-3.56723635,2.654506582,-2.495355079,-7.00048782,-5.490186333,-16.55667965,-12.57280999,-14.42886666,-49.65761894,1354.204734
165,-1.702270625,3.072495629,2.360324888,-6.461978466,-4.706558798,-16.96302882,-11.22078832,-14.1627055,-49.63777004,1354.64228
166,0.642415307,4.291793386,5.398623838,-5.400947179,-3.937792245,-17.27580582,-9.867692209,-13.89506303,-49.6173653,1355.081833
167,1.193564019,2.755978362,6.362022679,-4.051034199,-3.18122437,-17.49564804,-8.514590577,-13.62604673,-49.59640985,1355.523389
168,-0.553459739,-2.498424674,5.724830882,-2.639395271,-2.433460595,-17.62381309,-7.162546035,-13.35576397,-49.57490879,1355.966941
169,-2.500246971,-5.646530203,4.425343472,-1.347225446,-1.691909122,-17.66212908,-5.812598317,-13.08432293,-49.55286725,1356.412486
170,-6.905011602,-3.370948019,3.20204673,-0.289979399,-0.955432337,-17.61279749,-4.465772222,-12.81183257,-49.53029034,1356.860017
171,6.005147148,1.511759502,2.183674348,0.48135473,-0.224676267,-17.47812497,-3.123079646,-12.53840199,-49.50718315,1357.30953
172,-3.90056452,3.028115318,1.178689737,0.95917242,0.497528481,-17.2607482,-1.785522118,-12.26414016,-49.48355073,1357.76102
173,0.692969203,0.494758663,0.125994987,1.180727832,1.207366631,-16.96364592,-0.454097813,-11.9891559,-49.45939814,1358.21448
174,-0.334107968,-1.971650331,-0.783752381,1.227221704,1.900664134,-16.59019361,0.870200095,-11.71355833,-49.43473042,1358.669907
175,-3.847176802,-0.662291255,-1.581872272,1.186400825,2.572436808,-16.14417278,2.186390495,-11.43745686,-49.40955259,1359.127294
176,5.499935572,1.876352287,-2.181285204,1.14247033,3.216982343,-15.6297685,3.493506902,-11.16096122,-49.38386968,1359.586637
177,0.29787918,1.465891881,-2.484784833,1.147300182,3.828413957,-15.0513428,4.790580231,-10.88418113,-49.35768671,1360.04793
178,1.712627131,-0.288332459,-2.454195592,1.213228087,4.400620748,-14.41351717,6.076636503,-10.60722628,-49.33100872,1360.511168
179,-2.759566729,-1.610826837,-2.033432996,1.322491604,4.929592227,-13.72125536,7.35070026,-10.33020643,-49.30384072,1360.976345
180,1.198181037,-1.618870699,-1.16054796,1.425709155,5.409535669,-12.97982585,8.611781437,-10.05323149,-49.27618774,1361.443456
181,0.265553061,-0.179664342,0.171750489,1.467570965,5.83221568,-12.19433091,9.858874254,-9.77641125,-49.24805478,1361.912497
182,1.788704911,0.897551849,1.832215577,1.395753632,6.190174179,-11.36953152,11.09097258,-9.499855182,-49.21944687,1362.383461
183,-1.692393368,-0.151259129,3.343171607,1.163396293,6.47748248,-10.5097645,12.30706525,-9.223672754,-49.19036897,1362.856343
184,3.162365297,-1.669017457,4.224489269,0.763854119,6.68890409,-9.61906839,13.50613367,-8.947972759,-49.16082605,1363.331138
185,-6.577971518,-0.473178007,3.978748439,0.221648003,6.820653349,-8.701207794,14.68715258,-8.672862827,-49.13082306,1363.807841
186,1.162789728,3.393442217,2.402055919,-0.405373318,6.870086467,-7.759702262,15.84907112,-8.398450518,-49.10036496,1364.286446
187,6.12025786,3.892622746,-0.120595257,-1.023527351,6.835422444,-6.797620263,16.99079241,-8.124843047,-49.06945671,1364.766947
188,-2.679609074,-0.298718593,-2.786255117,-1.544542006,6.716631448,-5.817789143,18.11119218,-7.852146542,-49.0381033,1365.24934
189,-3.574556374,-3.731851702,-4.673390978,-1.907501326,6.51412919,-4.822801636,19.20913077,-7.580467462,-49.00630967,1365.733619
190,-0.05718466,-3.981151401,-5.115516526,-2.068832135,6.228493828,-3.815066768,20.28347221,-7.309912704,-48.97408076,1366.219779
191,3.736262519,-2.349737751,-3.99743764,-1.992091557,5.860890691,-2.79677,21.33308085,-7.040589563,-48.94142151,1366.707814
192,-5.103717748,0.260707462,-1.8245122,-1.659894205,5.413620453,-1.769801223,22.35682125,-6.772605876,-48.90833686,1367.197719
193,4.006096283,2.021037211,0.599103113,-1.103308152,4.890697103,-0.735776402,23.353564,-6.506069897,-48.87483176,1367.689488
194,-1.104883835,1.34030511,2.499444625,-0.399194395,4.297233105,0.303786176,24.32219314,-6.241090022,-48.84091117,1368.183117
195,0.15676041,1.107139373,3.466888104,0.366037133,3.639958458,1.347373788,25.26159711,-5.977774228,-48.80658005,1368.6786
196,-1.566951606,1.94190264,3.330274421,1.114913371,2.927738155,2.393601643,26.17066336,-5.716229733,-48.77184334,1369.175931
197,0.990136291,1.157808025,2.227616103,1.802970022,2.170197411,3.441152873,27.04828362,-5.456563853,-48.73670598,1369.675105
198,-0.829747831,-1.087713385,0.691478335,2.399574267,1.378295478,4.488674959,27.89337784,-5.198884517,-48.70117291,1370.176118
199,2.065382657,-2.856734684,-0.629539448,2.896353039,0.564396102,5.534826613,28.70490248,-4.943300283,-48.66524907,1370.678963
200,-1.586455144,-2.641834993,-1.414816719,3.277542606,-0.259236424,6.578173366,29.48185168,-4.689919646,-48.62893936,1371.183635
201,0.056665236,-1.495618318,-1.637268432,3.526640149,-1.079841863,7.617156295,30.22323829,-4.438851204,-48.59224867,1371.690129
202,-0.316095062,0.019567961,-1.463150176,3.63216907,-1.883768875,8.65011654,30.92810676,-4.190203236,-48.55518187,1372.198439
203,-0.137592701,2.243997921,-1.14987297,3.583710256,-2.657912058,9.675394668,31.59554174,-3.944083443,-48.5177438,1372.70856
204,2.073203084,2.561429487,-0.798071401,3.356135409,-3.388760925,10.69144226,32.22467238,-3.700598673,-48.47993925,1373.220488
205,-2.326328191,-0.108683371,-0.056668492,2.909682138,-4.06206845,11.69679238,32.81468689,-3.4598552,-48.44177302,1373.734215
206,-0.97228119,-2.293027339,1.279410322,2.209908032,-4.663598811,12.69024021,33.36481951,-3.221958968,-48.40324982,1374.249738
207,0.914168545,-2.073525935,3.0581221,1.239997442,-5.179383656,13.67062017,33.87433991,-2.987014741,-48.36437432,1374.76705
